0	49.3391586	6.999247499999999	Weiter 0geht's	1
1	49.3331586	6.999247499999999	Weiter 1geht's	1
2	49.3331586	6.989247499999999	Weiter 2geht's	1
3	49.3331586	6.979247499999999	Weiter 3geht's	1
4	49.3331586	6.969247499999999	Weiter 4geht's	1
5	49.3331586	6.959247499999999	Weiter 5geht's	1
6	49.3331586	6.979247499999999	Weiter 6geht's	1
7	49.3331586	6.939247499999999	Weiter 7geht's	1
8	49.3331586	6.929247499999999	Weiter 8geht's	1
9	49.3331586	6.919247499999999	Weiter 9geht's	1
10	49.3341586	6.999247499999999	Weiter 10geht's	1
11	49.3351586	6.999247499999999	Weiter 11geht's	1
12	49.3361586	6.999247499999999	Weiter 12geht's	1
13	49.3371586	6.999247499999999	Weiter 13geht's	1
14	49.3381586	6.999247499999999	Weiter 14geht's	1
15	49.3391586	6.999247499999999	Gewonnen	0

